task,occupation,paper_count,paper_ids
Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,Statisticians,202,"2304.00116,2304.04370,2304.05332,2304.08244,2304.09991,2304.14721,2305.13657,2306.07209,2308.02151,2308.08155,2308.11730,2309.00986,2309.12161,2310.01627,2310.02804,2310.09233,2310.10686,2310.13549,2310.19998,2311.08803,2311.09721,2311.10537,2311.17227,2312.00326,2312.03022,2312.08926,2312.13876,2401.04259,2401.05507,2401.07128,2401.12178,2401.16107,2401.17244,2401.17464,2402.01469,2402.03659,2402.04559,2402.09742,2402.10890,2402.11451,2402.11453,2402.11534,2402.12212,2402.12914,2402.13225,2402.13547,2402.14207,2402.16823,2402.17879,2403.02574,2403.03031,2403.04382,2403.05534,2403.09498,2403.13002,2403.15464,2403.15729,2403.17359,2404.01744,2404.07677,2404.07738,2404.09077,2404.09339,2404.14394,2404.14777,2405.12035,2405.16205,2405.18358,2406.11176,2406.12125,2406.12708,2406.13890,2406.15363,2406.17755,2406.17987,2406.19966,2407.00541,2407.01231,2407.09893,2407.10718,2407.12821,2407.15073,2407.17695,2407.20183,2407.21040,2407.21051,2408.01380,2408.01779,2408.05346,2408.06292,2408.12036,2408.14033,2408.15232,2408.15512,2409.00135,2409.05556,2409.12411,2409.13740,2409.14913,2409.15364,2410.00354,2410.01039,2410.01428,2410.02026,2410.02551,2410.02958,2410.07076,2410.08475,2410.09034,2410.09403,2410.10270,2410.12853,2410.13185,2410.14152,2410.14627,2410.17238,2410.17462,2410.18032,2410.20007,2410.20746,2410.22457,2410.24032,2411.00028,2411.00816,2411.01114,2411.07464,2411.11910,2411.18915,2411.19443,2411.19547,2412.01752,2412.02205,2412.04141,2412.06724,2412.09429,2412.10415,2412.12475,2412.14161,2412.14769,2412.18428,2412.20145,2412.21154,2501.00224,2501.02031,2501.02348,2501.04227,2501.05468,2501.08406,2501.12399,2502.00988,2502.04392,2502.04644,2502.05036,2502.06472,2502.07373,2502.09858,2502.11271,2502.11799,2502.12767,2502.12836,2502.13025,2502.13957,2502.14848,2502.17651,2502.18531,2502.18873,2502.19279,2502.20301,2502.20541,2502.21087,2503.00566,2503.02519,2503.05641,2503.07044,2503.09572,2503.09639,2503.11664,2503.13514,2503.13524,2503.18102,2503.22678,2503.22708,2503.23314,2504.00406,2504.00824,2504.02670,2504.02891,2504.05104,2504.06196,2504.06271,2504.07421,2504.07643,2504.08066,2504.09781,2504.10036,2504.12330,2504.13079,2504.14597,2504.14822,2504.16728,2504.16918,2504.17192"
Analyze and maintain data logs for audio-visual activities.,Audio and Video Technicians,41,"2303.11381,2303.17580,2304.12995,2306.07209,2306.08129,2309.11436,2309.12276,2310.00092,2310.10586,2310.11954,2311.05437,2312.13876,2401.03945,2401.08392,2402.02643,2402.03610,2402.10294,2402.14891,2403.10517,2405.19487,2406.14938,2406.16620,2406.19228,2407.09886,2408.05346,2409.12411,2410.09407,2410.17462,2411.02937,2412.06724,2412.09596,2412.16176,2412.18428,2501.01702,2503.00162,2503.07044,2503.11664,2503.21735,2504.07421,2504.08066,2504.10036"
"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",Water/Wastewater Engineers,18,"2304.00116,2305.16653,2305.17390,2306.07209,2312.13876,2401.05507,2403.13002,2403.19839,2406.17987,2410.08475,2410.17462,2411.01114,2501.00224,2501.01205,2503.18102,2504.05527,2504.08066,2504.14110"
"Analyze and record test data to issue reports that use charts, graphs, or narratives.",Medical and Clinical Laboratory Technicians,76,"2303.17071,2303.17491,2304.04370,2304.05332,2306.07209,2310.02804,2311.10537,2312.13876,2401.05507,2401.07128,2401.14589,2401.16107,2402.09742,2402.11453,2402.13225,2402.13448,2403.13002,2403.13313,2403.15464,2404.04292,2404.14777,2404.15155,2404.18021,2405.11640,2405.16205,2406.13890,2406.17755,2407.00541,2407.02483,2407.21040,2407.21051,2408.01869,2408.05346,2408.13378,2409.15084,2409.18924,2410.02026,2410.02551,2410.10270,2410.12532,2410.12868,2410.13610,2410.17462,2410.17657,2411.00046,2411.00248,2411.14461,2412.01605,2412.09429,2412.11716,2412.12166,2412.12475,2412.16172,2412.21154,2501.00224,2501.05464,2502.00988,2502.00989,2502.05036,2502.11799,2502.12836,2502.17651,2502.18531,2502.19175,2502.20335,2502.20689,2503.05347,2503.06074,2503.09639,2503.11664,2503.16463,2503.18102,2503.20666,2504.02891,2504.08066,2504.10036"
Analyze and report computer network security breaches or attempted breaches.,Computer Network Support Specialists,53,"2302.04761,2303.11381,2303.17491,2303.17580,2304.04370,2304.08103,2305.17066,2305.17390,2305.18323,2306.07906,2308.05481,2308.12086,2310.00322,2310.16340,2311.08803,2401.03408,2402.17531,2403.04123,2403.04783,2403.11905,2403.14443,2404.03648,2405.01593,2405.02858,2405.04325,2405.15793,2405.17441,2405.20309,2406.14928,2407.01231,2407.16667,2408.08926,2409.07429,2410.07677,2410.08164,2410.14627,2410.17236,2411.01114,2411.11496,2412.00652,2412.02205,2412.13471,2412.16682,2501.02997,2502.01390,2503.07036,2503.15552,2503.16505,2503.20279,2503.22038,2504.03174,2504.08525,2504.13203"
"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",Loan Officers,16,"2308.05361,2401.05799,2407.06567,2408.15879,2410.00354,2410.19727,2410.21741,2502.00415,2502.01390,2502.05439,2502.17967,2502.18228,2502.18471,2503.21080,2504.05104,2504.05862"
"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",Cost Estimators,52,"2308.08155,2308.12923,2310.02170,2311.06330,2311.08803,2401.07324,2402.05733,2402.08392,2402.10178,2402.11359,2402.11489,2402.11534,2402.12914,2403.04746,2403.13002,2404.13050,2405.04118,2405.06691,2405.20347,2406.07155,2406.10958,2406.16903,2407.12821,2407.14414,2407.17695,2408.01380,2408.03615,2408.03631,2408.06458,2408.12036,2408.15512,2409.00135,2409.18345,2410.08328,2410.10270,2410.13181,2410.14152,2410.19727,2410.21784,2411.01114,2411.08432,2411.11910,2411.14484,2501.00224,2501.02031,2502.07373,2502.11799,2502.18873,2503.02682,2503.05641,2503.09572,2504.16918"
"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",Architectural and Civil Drafters,16,"2304.04370,2402.01698,2402.07204,2402.08392,2402.11451,2403.15434,2406.16903,2408.08054,2409.18345,2410.18792,2410.21909,2411.01114,2411.14485,2412.12898,2501.00224,2504.06260"
"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Accountants and Auditors,54,"2304.09991,2305.19308,2306.07209,2308.02151,2308.05361,2310.02804,2311.09721,2312.08926,2312.13876,2401.05799,2401.17464,2402.01737,2402.02643,2402.03659,2402.11534,2403.14443,2405.16510,2406.17987,2406.19966,2407.06567,2407.09893,2408.05346,2408.12036,2409.12411,2409.14913,2410.00354,2410.01039,2410.07677,2410.10270,2410.14627,2410.19727,2410.21741,2411.08432,2411.18915,2412.02205,2412.11063,2412.14161,2412.15274,2501.02348,2501.08406,2501.12399,2502.00415,2502.00989,2502.05439,2502.11799,2502.13127,2502.17967,2502.18228,2502.18471,2502.21087,2503.11664,2504.05104,2504.05862,2504.07421"
Analyze changes designed to improve the environmental performance of complex systems and avoid unintended negative consequences.,Industrial Ecologists,106,"2302.00763,2303.17580,2304.00116,2304.09842,2310.02804,2310.05029,2310.10686,2310.13549,2310.19998,2311.08803,2312.07559,2401.05507,2401.17244,2401.17464,2402.01469,2402.01698,2402.10890,2402.11451,2402.11453,2402.13547,2403.02574,2403.04382,2403.13002,2403.15729,2403.19839,2404.05569,2404.07677,2404.07738,2404.09077,2404.09339,2404.14394,2405.00972,2405.18358,2406.11176,2406.17987,2407.10718,2407.12861,2407.15073,2407.17695,2407.20183,2408.05346,2408.06292,2408.12036,2408.14033,2408.15232,2408.15512,2408.15836,2409.00054,2409.00135,2409.05556,2409.12411,2409.13740,2409.14913,2410.07677,2410.08475,2410.09034,2410.09403,2410.10270,2410.13185,2410.14152,2410.14627,2410.17462,2410.18032,2410.21909,2411.00028,2411.00816,2411.01114,2411.06159,2411.11910,2411.19443,2412.16172,2412.18428,2412.21154,2501.00224,2501.01205,2501.02031,2501.04227,2501.05468,2502.00988,2502.04392,2502.04644,2502.06472,2502.07373,2502.09858,2502.11271,2502.11799,2502.12767,2502.13025,2502.14767,2502.18873,2502.20541,2503.00566,2503.05641,2503.07044,2503.13524,2503.18102,2503.22708,2504.00824,2504.07643,2504.08066,2504.10036,2504.12330,2504.14597,2504.14822,2504.16728,2504.17200"
"Analyze climate data sets, using techniques such as geophysical fluid dynamics, data assimilation, or numerical modeling.",Atmospheric and Space Scientists,88,"2304.00116,2305.17390,2306.07209,2306.08129,2310.02804,2310.10686,2310.17512,2310.19998,2311.06330,2311.08166,2311.17227,2312.03664,2401.14016,2401.17244,2401.17464,2402.05733,2402.11451,2402.11453,2402.11712,2402.13184,2402.16333,2402.17879,2403.13002,2403.15729,2403.19839,2405.14205,2405.18358,2406.10958,2406.14373,2406.17987,2407.10718,2407.11014,2407.17695,2407.21024,2407.21040,2408.06292,2408.12036,2408.14033,2408.15512,2408.16081,2409.00054,2409.05556,2410.07076,2410.08475,2410.09034,2410.09403,2410.14152,2410.17238,2410.17462,2410.18792,2410.20746,2411.01114,2411.01511,2411.03817,2411.10753,2411.11910,2411.16707,2411.18915,2412.02205,2412.06412,2412.17339,2501.00224,2501.00430,2501.02031,2501.02348,2501.04227,2502.00988,2502.05036,2502.09858,2502.13025,2502.18407,2502.18873,2503.00566,2503.05641,2503.18102,2503.22708,2504.01911,2504.03561,2504.05104,2504.06260,2504.07643,2504.08066,2504.09602,2504.09781,2504.10157,2504.16728,2504.16918,2504.17200"
Analyze clinical data using appropriate statistical tools.,Clinical Data Managers,377,"2303.17071,2303.17491,2303.17580,2304.04370,2304.05332,2305.14992,2305.18323,2305.19118,2305.19308,2306.07209,2306.07906,2306.10765,2307.06187,2307.07697,2308.08043,2308.08155,2308.12923,2309.12161,2309.17179,2309.17452,2310.00280,2310.02170,2310.02374,2310.02804,2310.03714,2310.04406,2310.05146,2310.05746,2310.05915,2310.09233,2310.16427,2310.19998,2311.00416,2311.03220,2311.05772,2311.06622,2311.07076,2311.07850,2311.09618,2311.09721,2311.10537,2311.17371,2312.04854,2312.04889,2312.08926,2312.10003,2312.11282,2312.12009,2312.13876,2401.04259,2401.05507,2401.07128,2401.14016,2401.14589,2401.16107,2401.17464,2402.01030,2402.01053,2402.01469,2402.02643,2402.03610,2402.04253,2402.04268,2402.04559,2402.06634,2402.07401,2402.09742,2402.10051,2402.10153,2402.10178,2402.11163,2402.11359,2402.11451,2402.11453,2402.11534,2402.12914,2402.13225,2402.13448,2402.14320,2402.14658,2402.14851,2402.14891,2402.16823,2402.17879,2403.03031,2403.04746,2403.05534,2403.06221,2403.09498,2403.10779,2403.13313,2403.15464,2403.16854,2403.19962,2404.01744,2404.04292,2404.04735,2404.05569,2404.07103,2404.07738,2404.09127,2404.09248,2404.09339,2404.13050,2404.14394,2404.14777,2404.15155,2404.15488,2404.15923,2404.18021,2404.18130,2405.00972,2405.04118,2405.05955,2405.10292,2405.11640,2405.12035,2405.13021,2405.14125,2405.15784,2405.15793,2405.16533,2405.17402,2405.18358,2405.19425,2405.20267,2406.00922,2406.06799,2406.07155,2406.10958,2406.12125,2406.12639,2406.12708,2406.13890,2406.15363,2406.16714,2406.17755,2406.17987,2406.19228,2407.00541,2407.01231,2407.01887,2407.02483,2407.05674,2407.06426,2407.08095,2407.09886,2407.09893,2407.10718,2407.11417,2407.12821,2407.12871,2407.14402,2407.14414,2407.15073,2407.20183,2407.21040,2407.21051,2408.00727,2408.01380,2408.01869,2408.06292,2408.06849,2408.07531,2408.12036,2408.12142,2408.13378,2408.14033,2408.15512,2408.16081,2408.16991,2409.00135,2409.03440,2409.04181,2409.04617,2409.05556,2409.08406,2409.09584,2409.12147,2409.12411,2409.13740,2409.14913,2409.15084,2409.15376,2409.16120,2409.18335,2409.18924,2409.19338,2410.01039,2410.01428,2410.02026,2410.02551,2410.02958,2410.03770,2410.04112,2410.06153,2410.07076,2410.08475,2410.09034,2410.09252,2410.09403,2410.09407,2410.09824,2410.10270,2410.10871,2410.11507,2410.12532,2410.12868,2410.13181,2410.13610,2410.14041,2410.14152,2410.14594,2410.14627,2410.16322,2410.17238,2410.17462,2410.17657,2410.18032,2410.20007,2410.20746,2410.20753,2410.21312,2410.21741,2410.22457,2410.22584,2410.22932,2411.00028,2411.00046,2411.00248,2411.00784,2411.00816,2411.01114,2411.01643,2411.03395,2411.05194,2411.05762,2411.06159,2411.08432,2411.09972,2411.10681,2411.11910,2411.13451,2411.13902,2411.14461,2411.15004,2411.18915,2412.01605,2412.04141,2412.05631,2412.06724,2412.06828,2412.07144,2412.09429,2412.10415,2412.10422,2412.10425,2412.11716,2412.12166,2412.12358,2412.12475,2412.14161,2412.14769,2412.15242,2412.15701,2412.17061,2412.18351,2412.18428,2412.20005,2412.20145,2412.21154,2501.00224,2501.00430,2501.00830,2501.02348,2501.04227,2501.05464,2501.05468,2501.05475,2501.08406,2501.09426,2501.12051,2501.15056,2501.16607,2502.00988,2502.01390,2502.02534,2502.03283,2502.04306,2502.04392,2502.04485,2502.04644,2502.05036,2502.06472,2502.07165,2502.07373,2502.09858,2502.11271,2502.11404,2502.11705,2502.11799,2502.12767,2502.12836,2502.12929,2502.13025,2502.13428,2502.13920,2502.13957,2502.13959,2502.14496,2502.14499,2502.14765,2502.14767,2502.14848,2502.17924,2502.18407,2502.18531,2502.18873,2502.19175,2502.19279,2502.19500,2502.20301,2502.20335,2502.20689,2502.21087,2503.00566,2503.01829,2503.01935,2503.02519,2503.02682,2503.04629,2503.04875,2503.05347,2503.05592,2503.05641,2503.05793,2503.06074,2503.07044,2503.09639,2503.11664,2503.13205,2503.13514,2503.13524,2503.15552,2503.16463,2503.17553,2503.18102,2503.20666,2503.21735,2503.21760,2503.22473,2503.22678,2503.22708,2503.23314,2504.00255,2504.00406,2504.02670,2504.02891,2504.06196,2504.06271,2504.07385,2504.07643,2504.08066,2504.08525,2504.09689,2504.09781,2504.10036,2504.10127,2504.11536,2504.12322,2504.12330,2504.12734,2504.13472,2504.14594,2504.14822,2504.14928,2504.16728"
"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",Biostatisticians,90,"2303.17071,2304.00116,2304.04370,2304.05332,2304.09991,2305.16653,2305.17390,2305.19118,2305.19308,2306.07209,2310.02170,2310.02804,2311.10537,2312.13876,2401.05507,2401.07128,2402.04559,2402.09742,2402.11451,2402.11453,2402.12914,2402.13225,2402.13448,2402.17879,2403.09498,2403.15464,2404.13050,2404.14777,2405.16205,2406.02818,2406.10958,2406.13890,2406.17987,2407.00541,2407.12821,2407.15073,2407.21040,2408.01869,2408.12036,2408.13378,2409.12411,2409.15084,2409.18924,2410.02551,2410.10270,2410.12532,2410.13610,2410.14041,2410.17462,2410.17657,2411.11910,2411.18915,2412.01605,2412.02205,2412.09429,2412.12475,2412.14769,2412.15242,2412.15701,2412.20145,2412.21154,2501.00224,2501.00430,2501.02031,2501.04227,2501.16607,2502.00988,2502.00989,2502.09858,2502.11140,2502.11799,2502.12836,2502.13920,2502.14765,2502.18531,2502.19279,2503.00566,2503.06074,2503.07044,2503.09639,2503.11664,2503.18102,2503.23314,2504.02891,2504.06196,2504.07421,2504.07643,2504.08066,2504.09689,2504.10036"
"Analyze competitive market strategies through analysis of related product, market, or share trends.",Business Intelligence Analysts,257,"2303.11381,2303.17580,2304.04370,2304.09842,2305.17390,2305.18323,2305.19308,2306.03460,2306.07209,2307.07697,2308.05361,2308.08155,2308.10144,2308.11601,2308.12519,2309.17176,2310.00280,2310.02170,2310.02804,2310.05029,2310.05746,2310.09233,2310.13549,2310.14403,2310.17512,2310.17749,2311.03220,2311.05437,2311.05772,2311.08803,2311.09721,2311.09818,2311.17371,2312.04854,2312.04889,2312.06677,2312.11242,2312.11282,2312.12009,2312.13876,2401.05507,2401.05799,2401.06201,2401.12178,2401.15724,2401.17464,2402.01469,2402.02643,2402.03659,2402.03719,2402.04253,2402.06634,2402.10178,2402.10890,2402.11163,2402.11453,2402.11534,2402.12275,2402.12914,2402.13547,2402.14672,2402.14891,2402.15813,2402.17574,2402.17879,2402.19446,2403.00820,2403.02574,2403.03101,2403.04746,2403.05534,2403.14443,2403.14589,2403.17359,2404.01744,2404.07103,2404.07677,2404.09248,2404.09339,2404.10887,2404.13050,2404.19705,2405.04118,2405.06691,2405.17402,2405.20252,2405.20347,2406.02818,2406.07115,2406.07155,2406.10803,2406.10958,2406.11176,2406.12125,2406.12197,2406.12639,2406.14550,2406.17231,2406.17987,2406.19966,2407.01231,2407.04472,2407.05674,2407.06567,2407.09893,2407.10718,2407.11384,2407.11417,2407.12821,2407.12861,2407.12871,2407.15073,2407.17695,2407.20183,2407.21040,2408.01380,2408.03615,2408.05346,2408.06458,2408.06849,2408.12036,2408.15232,2408.15836,2409.00054,2409.00557,2409.01392,2409.01854,2409.04181,2409.05556,2409.07497,2409.12411,2409.13449,2409.13753,2409.14051,2409.14913,2409.17213,2410.00031,2410.00354,2410.01039,2410.02810,2410.02958,2410.08328,2410.08475,2410.09407,2410.09824,2410.10270,2410.14251,2410.14627,2410.18032,2410.19727,2410.20007,2410.21741,2410.22932,2410.24032,2411.00028,2411.00784,2411.00816,2411.00927,2411.01114,2411.01643,2411.05762,2411.07464,2411.08432,2411.18915,2411.19443,2412.01752,2412.02205,2412.04141,2412.05449,2412.06724,2412.10422,2412.10425,2412.14161,2412.15274,2412.15701,2412.17149,2412.18428,2412.18690,2412.20005,2412.20145,2501.00332,2501.00430,2501.01702,2501.02031,2501.02348,2501.04227,2501.04575,2501.05468,2501.05475,2501.06189,2501.08406,2501.12399,2501.15056,2501.16607,2502.00322,2502.00415,2502.00988,2502.00989,2502.01390,2502.02067,2502.03283,2502.04306,2502.04485,2502.04644,2502.05036,2502.05439,2502.07373,2502.10996,2502.11140,2502.11271,2502.11799,2502.11882,2502.12149,2502.12486,2502.12767,2502.12929,2502.13025,2502.13127,2502.13957,2502.14848,2502.15690,2502.16810,2502.17651,2502.17967,2502.18471,2502.18873,2502.19279,2502.21087,2503.02197,2503.05592,2503.05641,2503.07044,2503.09572,2503.11664,2503.13514,2503.14620,2503.19271,2503.20791,2503.20978,2503.22726,2503.23314,2504.00406,2504.02670,2504.02965,2504.05104,2504.06271,2504.07421,2504.07643,2504.09781,2504.10036,2504.10127,2504.11536,2504.12322,2504.12330,2504.12477,2504.12734,2504.14597"
"Analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research.",Health Informatics Specialists,12,"2302.04761,2303.11381,2303.17071,2303.17491,2304.00116,2304.04370,2304.08244,2304.09842,2305.15334,2305.16653,2305.17390,2305.18323"
Analyze control or survey data to ensure adherence to project specifications or land survey standards.,Geodetic Surveyors,24,"2304.00116,2307.06187,2312.06351,2402.01698,2402.03877,2402.07204,2402.10051,2407.11014,2407.14414,2407.21024,2408.01380,2408.03631,2408.12036,2410.09252,2410.18792,2410.22457,2411.10753,2412.14161,2412.17339,2501.00830,2502.00988,2503.11664,2504.05527,2504.17200"
Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,Credit Analysts,28,"2308.05361,2312.13876,2401.05799,2406.17987,2407.06567,2408.12036,2409.14913,2410.00354,2410.01039,2410.10270,2410.19727,2410.21741,2411.18915,2412.02205,2412.14161,2412.18690,2501.08406,2501.12399,2502.00415,2502.05439,2502.13127,2502.17967,2502.18228,2502.18471,2503.11664,2503.21080,2504.05104,2504.05862"
"Analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS).",Remote Sensing Scientists and Technologists,67,"2303.08268,2303.11381,2304.00116,2304.05332,2306.07209,2307.07697,2311.05437,2311.06330,2311.08803,2311.11904,2312.06351,2312.07559,2312.13876,2401.17244,2402.07204,2402.11451,2402.12914,2402.14744,2402.17879,2403.15729,2403.19839,2404.07738,2405.10620,2405.18358,2406.06799,2407.11014,2407.18035,2407.21024,2408.03631,2408.06292,2408.12036,2408.15512,2409.00135,2409.05556,2410.09034,2410.10270,2410.13185,2410.14152,2410.16400,2410.17462,2410.18032,2410.18792,2410.19848,2411.01511,2411.02937,2411.10753,2411.11910,2412.06412,2412.17339,2501.00224,2501.00430,2501.04227,2501.06193,2502.00988,2502.13025,2502.14499,2503.00566,2503.08162,2504.01911,2504.06271,2504.07421,2504.08066,2504.09781,2504.10036,2504.12330,2504.16728,2504.17200"
